CODGEO,P21_POP,P15_POP,SUPERF,NAIS1520,DECE1520,P21_MEN,NAISD22,DECESD22,P21_LOG,P21_RP,P21_RSECOCC,P21_LOGVAC,P21_RP_PROP,NBMENFISC21,PIMP21,MED21,TP6021,P21_EMPLT,P21_EMPLT_SAL,P15_EMPLT,P21_POP1564,P21_CHOM1564,P21_ACT1564,ETTOT21,ETAZ21,ETBE21,ETFZ21,ETGU21,ETGZ21,ETOQ21,ETTEF121,ETTEFP1021,REG,%_evol_creations_etabl,indicateur_dvm,prix_m2_logmts,%_evol_nb_ventes_logmts,%_evol_prix_m2_logmts,prix_m2_locaux,%_evol_nb_ventes_locaux,%_evol_prix_m2_locaux,pop_0_29ans,ind_jeunesse,tx_scolarisation,tx_pop_sans_diplome,tx_pop_bac+2_ou_+,densite_demographique,tx_evol_demographique,tx_vacance_log,tx_activite,tx_chomage,part_emplois_salaries,part_emplois_dans_la_commune,densite_etablissements,tx_etablissements,part_Ets_agriculture,part_Ets_industrie,part_Ets_construction,part_Ets_commerce_services,part_Ets_adm_publique,part_Ets_1_a_9_salariés,part_Ets_10_salaries_ou_+,population_category
91573,11680.0,10501.0,11.59,1169.0,360.0,4528.29653960119,181.0,62.0,4630.02935683906,4528.29653960119,20.4241018032895,81.3087154345818,2842.26922954501,4443.0,70.0,26200.0,0.08,2833.65663601519,2451.81016029879,2451.36985762614,7811.09273528759,497.828823078219,6263.07977062982,291.0,0.0,21.0,49.0,191.0,51.0,30.0,199.0,73.0,11,1.82,1.2195327272256329,3542.163043478261,0.15,0.17,2705.82,0.67,-0.51,4924.0,0.42,0.98,0.13,0.43,1007.77,0.11,0.02,0.8,0.06,0.87,0.36,25.11,0.06,0.0,0.0722,0.1684,0.6564,0.1031,0.6838,0.2509,10k-20k
91577,5829.0,5654.0,3.29,407.0,267.0,2239.02590626281,68.0,51.0,2460.11722857686,2239.02590626281,18.007438016529,203.083884297522,1787.5783807277,2209.0,73.0,27730.0,0.08,530.462971814744,397.887539396741,562.02391610975,3541.00916878969,244.523755679755,2778.06581204564,89.0,0.0,3.0,28.0,49.0,13.0,9.0,73.0,6.0,11,1.31,1.4132315736211842,3316.571038251366,0.16,0.15,7063.482758620689,13.5,4.84,2090.0,0.36,0.98,0.15,0.36,1771.73,0.03,0.08,0.78,0.07,0.75,0.15,27.05,0.04,0.0,0.0337,0.3146,0.5506,0.1011,0.8202,0.0674,5k-10k
91578,270.0,317.0,4.37,7.0,16.0,123.305989448237,2.0,4.0,160.155451813828,123.305989448237,14.3802779963283,22.469184369263,110.59065466546,117.0,0.0,34040.0,0.0,41.0904573238351,31.6988895069468,47.5433137775593,159.654450772276,6.68907256797517,121.577153157817,10.0,1.0,0.0,0.0,7.0,1.0,2.0,8.0,1.0,11,1.2,0.5812274368231047,3920.1304347826085,-0.08,0.09,4618.25,0.33,-0.68,58.0,0.21,1.0,0.08,0.48,61.78,-0.15,0.14,0.76,0.04,0.77,0.26,2.29,0.08,0.1,0.0,0.0,0.7,0.2,0.8,0.1,0-500
91579,3023.0,3060.0,11.57,174.0,297.0,1269.25368128062,35.0,59.0,1373.24751020442,1269.25368128062,35.3377088576026,68.6561200661993,1011.107853166,1200.0,74.0,29300.0,0.0,388.748941542874,315.129439870619,407.558099084602,1789.60041137533,89.5549051667754,1446.55405564135,51.0,1.0,2.0,5.0,36.0,7.0,7.0,42.0,7.0,11,0.83,1.3353313353313354,3475.9289340101523,0.17,0.18,6253.535714285715,13.0,0.37,996.0,0.33,0.98,0.15,0.36,261.28,-0.01,0.05,0.81,0.05,0.81,0.22,4.41,0.04,0.0196,0.0392,0.098,0.7059,0.1373,0.8235,0.1373,2k-5k
91581,905.0,879.0,4.66,43.0,29.0,354.611416318631,9.0,4.0,394.008874352826,354.611416318631,16.1630597063367,23.234398327859,326.184683926771,345.0,0.0,31620.0,0.0,58.5124312223437,34.3112850430662,68.5438706148449,601.702419641616,39.2627620432079,470.860492397491,16.0,1.0,0.0,1.0,11.0,1.0,3.0,12.0,1.0,11,1.71,1.2584269662921348,3074.7906976744184,0.37,0.17,,,,275.0,0.3,1.0,0.13,0.41,194.21,0.03,0.06,0.78,0.07,0.59,0.1,3.43,0.05,0.0625,0.0,0.0625,0.6875,0.1875,0.75,0.0625,501-1k
91587,6583.0,5181.0,7.65,507.0,162.0,2744.39664250546,110.0,23.0,2967.16833996102,2744.39664250546,32.2565353781805,190.515162077378,1872.85671817462,2625.0,72.0,27220.0,0.09,1517.99113150254,1281.31749507134,1517.9759135538,4277.71224931909,335.142002384045,3391.46479648724,187.0,4.0,10.0,29.0,130.0,43.0,14.0,132.0,37.0,11,1.62,1.0488702732023645,3846.323262839879,-0.22,0.08,4081.818181818182,0.47,0.91,2560.0,0.39,0.97,0.15,0.41,860.52,0.27,0.06,0.79,0.08,0.84,0.35,24.44,0.07,0.0214,0.0535,0.1551,0.6952,0.0749,0.7059,0.1979,5k-10k
91589,37371.0,36262.0,6.97,3061.0,1578.0,15608.8087077961,486.0,268.0,17192.1001385747,15608.8087077961,243.220771673451,1340.07065910517,9778.85578771199,15147.0,66.0,25590.0,0.14,6049.02765389248,4947.54837300875,6243.85832255622,24253.9842848169,2012.55798521677,18646.8901332123,786.0,0.0,31.0,183.0,487.0,119.0,85.0,611.0,90.0,11,3.25,1.2416404401089831,3995.0285996055227,0.2,0.13,4207.188976377953,0.84,0.19,14212.0,0.38,0.98,0.19,0.39,5361.69,0.03,0.08,0.77,0.08,0.82,0.25,112.77,0.05,0.0,0.0394,0.2328,0.6196,0.1081,0.7774,0.1145,20k-50k
91593,1594.0,1644.0,13.6,103.0,59.0,648.966940364321,17.0,8.0,750.055375738471,648.966940364321,36.3918367346939,64.6965986394558,581.868463987303,664.0,0.0,28860.0,0.0,138.84134684783,105.025190873535,142.317149837164,1013.22511789182,47.1757338738937,792.29393802303,23.0,0.0,1.0,5.0,13.0,5.0,4.0,17.0,3.0,11,-0.46,1.1033083645443196,2862.3636363636365,0.42,0.08,,,,485.0,0.3,0.98,0.14,0.37,117.21,-0.03,0.09,0.78,0.05,0.76,0.14,1.69,0.04,0.0,0.0435,0.2174,0.5652,0.1739,0.7391,0.1304,1k-2k
91599,1207.0,1301.0,11.52,81.0,70.0,538.067555822886,12.0,8.0,849.996400035029,538.067555822886,46.1767775419788,265.752066670164,453.184370595309,517.0,0.0,29020.0,0.0,245.575362663356,191.369826969348,351.649021138157,740.28662073305,43.3523965538547,599.872762259278,39.0,2.0,3.0,7.0,23.0,4.0,4.0,33.0,5.0,11,-0.1,1.5845254161043634,3295.3953488372094,0.42,0.18,2142.125,3.0,1.49,397.0,0.33,0.97,0.13,0.41,104.77,-0.07,0.31,0.81,0.06,0.78,0.33,3.39,0.07,0.0513,0.0769,0.1795,0.5897,0.1026,0.8462,0.1282,1k-2k
91600,7322.0,6996.0,8.56,384.0,369.0,3102.03413704062,64.0,65.0,3412.92227430336,3102.03413704062,76.0823289503729,234.805808312358,2111.31637509299,2986.0,75.0,30670.0,0.09,1338.13759578617,1078.51350496135,1352.31570108209,4190.65203502106,267.559731118612,3178.64687936363,148.0,0.0,5.0,20.0,96.0,20.0,27.0,119.0,13.0,11,1.41,1.134109925883876,3286.895939086294,0.05,-0.05,3621.3,0.25,-0.24,2312.0,0.32,0.97,0.13,0.5,855.37,0.05,0.07,0.76,0.06,0.81,0.32,17.29,0.05,0.0,0.0338,0.1351,0.6486,0.1824,0.8041,0.0878,5k-10k
