ze,ratio_sarima_log,map_sarima_log,rmse_sarima_log,map_lstm_vanilla,mse_lstm_vanilla,rmse_lstm_vanilla,ratio_lstm_vanilla,map_lstm_bidirectionnal,mse_lstm_bidirectionnal,rmse_lstm_bidirectionnal,ratio_lstm_bidirectionnal,map_gru,mse_gru,rmse_gru,ratio_gru,map_lstm_stacked,mse_lstm_stacked,rmse_lstm_stacked,ratio_lstm_stacked
Avranches,1.1344482540535017,0.2279073851568063,2.5228309837486,0.2220623569918327,7.359542467888165,2.7128476676526025,1.0987116373807302,0.2179275479146793,7.311252216499406,2.7039327315041337,1.086801372117469,0.2206424770067593,7.346934683361937,2.710522953852621,1.0937028144462664,0.2217658632080696,7.357003096894378,2.7123796004420875,1.096904827010019
Alençon,0.9590010859069896,0.1545467783223321,2.0552514658519923,0.1499277362342402,4.57863805692801,2.139775235142236,0.964433371635151,0.1500133538674206,4.627427562408084,2.151145639515857,0.9591808818986762,0.1513655467608553,4.719199600554273,2.172371883576629,0.9558596863960416,0.1519867996300891,4.77924626840752,2.186148729708828,0.9513322542611876
Lisieux,1.0575192793549828,0.1853249065499916,1.714546282055052,0.196078103340113,3.216626512664836,1.7934956126695254,1.063984506146747,0.1964358405586024,3.2517450708444904,1.803259568349629,1.0672985717557215,0.1961803817431317,3.2213362940759804,1.794808149657222,1.0641625124433274,0.1968133158498973,3.2284785981051014,1.7967967603780628,1.0695894502950316
Yvetot-Vallée du Commerce,0.966884058556317,0.1552967132984782,1.860562013816001,0.1609652176041591,3.6162589411969495,1.9016463764845843,1.0076416043916574,0.1647547459960043,3.634216997589606,1.9063622419649435,1.0143366485769123,0.1610124442704354,3.556477173986869,1.885862448320892,1.013239925820766,0.1956456361179372,6.447881466714654,2.539267899752733,0.8268623606382869
Coutances,0.9292899941417888,0.1942146497499633,2.7046760917334747,0.1979011868105839,6.56331854354478,2.5618974498493845,0.9820383591664466,0.1973835478526342,6.599837642358208,2.569014916725516,0.9797229278554852,0.1983884946145761,6.512638412487544,2.551987149749689,0.986257109522833,0.1986621857214141,6.48388369629498,2.5463471280041494,0.9886148870186064
Bernay,0.961318047739114,0.2011775336702599,2.2690322379812926,0.2074003105612502,5.475069919672101,2.339886732231306,0.9744610643405082,0.2121429420751289,5.666489489589636,2.380438927926872,0.9692215709228604,0.2072382375472791,5.485058498206899,2.342020174594339,0.9732004450276016,0.2096520442722939,5.491408315202569,2.343375410642215,0.978607095183424
Granville,0.977938063234915,0.1996244512653124,2.170516493086729,0.207609277228223,4.658798586742264,2.158425024582105,1.0151157441746503,0.2089534467028024,4.693815188007448,2.1665214487762285,1.020010894217175,0.2076787308061066,4.650375035775499,2.1564728228696737,1.0156736590208797,0.2074420628434362,4.719941981657301,2.172542745645595,1.0137198459212644
L'Aigle,1.0809243231728265,0.2262447763272862,2.284622381225687,0.2484181778684437,6.293139424120244,2.508613047905205,1.102671307103097,0.2455676967726879,6.306768430516585,2.511328021290048,1.08914435519575,0.2451410477872255,6.3087410700897175,2.511720738873993,1.0881006524862762,0.2485076231615292,6.312401953916748,2.512449393304619,1.1011167055070257
Argentan,1.069534194353132,0.2442353707506154,2.7448357415023,0.2336182610624702,7.97259481115195,2.823578369932726,1.0207455329594166,0.2326301250069535,8.13898731918871,2.852891045797002,1.011716768596696,0.2323049020091528,8.07131840227248,2.841006582581688,1.0141053794701695,0.2359140088772111,7.988675827238111,2.826424565991124,1.0257782652099106
Vire Normandie,0.9979412526056872,0.2457601113956714,2.732261685989504,0.2627784891365378,6.745732545854364,2.5972548095738244,1.0981775682522597,0.2657102858340727,6.707203061024662,2.589826839969163,1.108983667189143,0.263239373888551,6.755038540707405,2.599045698079856,1.0967834265037772,0.2512473253800177,6.620499635059582,2.573033158562008,1.081946438636077
La Vallée de la Bresle-Vimeu,0.95645733250453,0.2608877171516335,3.643035945659616,0.2679361923160478,11.926663947914305,3.4535002458251403,1.0490412094908477,0.266670758009407,12.025556579301988,3.467788427701723,1.0422433189031823,0.2687470717423599,11.947016517403917,3.456445647974797,1.050721833607647,0.2686670233649182,11.902766083419143,3.4500385625988508,1.0518229684825533
Nogent-le-Rotrou,1.121856004221002,0.3763302384225649,3.2269139975509464,0.376806720016127,9.959148938718052,3.155811930188181,1.1807835499852577,0.3837251192884195,10.275844251667015,3.2055957717196684,1.1683296457810897,0.3829654712064017,10.160345187746248,3.187529637155747,1.171089451436771,0.3787048989895736,10.005417185683608,3.1631340764633435,1.1806191300930715
Dreux,1.0724984125410617,0.2919650397169316,2.3820774050964744,0.3211184442694815,5.541530772981885,2.354045618288202,1.1452872091537425,0.3231736581953068,5.519374596426244,2.34933492640497,1.153123810114923,0.313983649677479,5.531261832482575,2.351863480834416,1.1269550482258517,0.3202068125220798,5.536867106943909,2.3530548457152265,1.143256751168247
Beauvais,0.8806096820919846,0.4147748965196752,4.818881254584711,0.4552944933107987,16.60963239342492,4.07549167505283,1.1276735025110407,0.4535570409164127,16.924639034760332,4.1139566155661305,1.114580044911575,0.4584164953571151,16.40622837096296,4.050460266557735,1.141021855227042,0.4547540603103595,16.64093989623985,4.079330814758697,1.125204259838972
Paris,0.9307103821498568,0.0931948155536762,0.9328851951599592,0.1099815984408825,0.7545427962854754,0.8686442288333442,1.018428321144993,0.1216444420825859,1.0109690125168351,1.0054695482792282,0.9484978295318076,0.1234802742896548,0.8641812933947491,0.9296135182938924,1.0183598478894382,0.114644703459009,0.7904570336093009,0.8890765060495642,1.0077260668220536
Roissy,1.0533721672511112,0.109187867154596,0.6907429912640263,0.111396117252643,0.4741223166615619,0.6885654047812465,1.0496164376500396,0.1128127387715703,0.4799366757985501,0.6927746212142518,1.0520273599940488,0.1142459674266391,0.4919882793673464,0.7014187617731268,1.0533735026168465,0.0924384358973301,0.4874908609049709,0.6982054575158884,0.9796837392421608
